"extension","keyword","field","widget","label","default","min","max","options","variant_defaults"
"base","Debug",1,"intNumberBox","Cycle number for debug output:","blank 0 40",NA,NA,"",""
"base","Debug",2,"intNumberBox","Integer if debug required for specific subroutine.","1 blank",NA,NA,"",""
"base","Debug",3,"intNumberBox","Output data set reference number:","16 1 100",NA,NA,"",""
"base","Debug",4,"longTextEdit","List of FVS subroutines for which debug is desired:","main tregro",NA,NA,"",""
"base","Defect",1,"listButton","Volume type affected","Merchantable cubic and Board foot",NA,NA,"Merchantable cubic and Board foot|Merchantable cubic only|Board foot only","ls ne cs sn=ls ne cs sn"
"base","Defect",2,"speciesSelection","Species that will be affected by this keyword","",NA,NA,"",""
"base","Defect",3,"longListButton","Specify whether to use defect from the input tree record","Use defect specified on the input tree record",NA,NA,"Use defect specified on the input tree record|Ignore defect specified on the input tree record",""
"base","Defect",4,"sliderBox","Volume defect proportion for a 5-inch tree","0",0,1,"",""
"base","Defect",5,"sliderBox","Volume defect proportion for a 10-inch tree","0",0,1,"",""
"base","Defect",6,"sliderBox","Volume defect proportion for a 15-inch tree","0",0,1,"",""
"base","Defect",7,"sliderBox","Volume defect proportion for a 20-inch tree","0",0,1,"",""
"base","Defect",8,"sliderBox","Volume defect proportion for a 25-inch tree","0",0,1,"",""
"base","Defect",9,"sliderBox","Volume defect proportion for a 30-inch tree","0",0,1,"",""
"base","Defect",10,"sliderBox","Volume defect proportion for a 35-inch tree","0",0,1,"",""
"base","Defect",11,"sliderBox","Volume defect proportion for 40 inch and larger trees","0",0,1,"",""
"base","DelOTab",1,"longListButton","Output to be deleted","Delete the selected sample tree table.",NA,NA,"Delete the stand composition table.|Delete the selected sample tree table.|Delete the summary statistics table.|Delete the activity schedule table",""
"base","Design",1,"numberBox","Basal area factor (or inverse of plot size)","blank -999 999",NA,NA,"",""
"base","Design",2,"numberBox","Inverse of the small-tree fixed area plot.","blank",NA,NA,"",""
"base","Design",3,"numberBox","Enter the break point diameter in inches.","blank",NA,NA,"",""
"base","Design",4,"numberBox","Number of plots in the stand.","blank",NA,NA,"",""
"base","Design",5,"numberBox","Number of nonstockable plots in the stand.","blank",NA,NA,"",""
"base","Design",6,"numberBox","Sampling weight for the stand.","blank",NA,NA,"",""
"base","Design",7,"sliderBox","Proportion of the stand considered stockable","0",1,0,"",""
"base","DgStDev",1,"numberBox","Number of standard deviations defining the bounds of \
distribution","2 0 3",NA,NA,"",""
"base","Echo",1,"noInput","Echo keywords to the OPTIONS SELECTED BY INPUT TABLE","",NA,NA,"",""
"base","EchoSum",1,"numberBox","Data set reference number","4",NA,NA,"",""
"base","Fertiliz",1,"scheduleBox","","",NA,NA,"",""
"base","Fertiliz",2,"sliderBox","Proportion of model-predicted effects actually achievied","1",0,1,"",""
"base","FIAVBC",1,"longListButton","Default global merchantability specifications","0 = FIA merchantable specifications",NA,NA,"\|0 = FIA merchantable specifications|1 = Regional NFS merchantable specifications",""
"base","FIAVBC",2,"noInput","Cruise Type is no longer used","",NA,NA,"",""
"base","FIAVBC",3,"noInput","------------------ Custom Species Settings ------------------","",NA,NA,"",""
"base","FIAVBC",4,"speciesSelection","Species whose limits are to be changed","",NA,NA,"",""
"base","FIAVBC",5,"numberBox","Minimum DBH","blank",NA,NA,"",""
"base","FIAVBC",6,"numberBox","Minimum top diameter","blank",NA,NA,"",""
"base","FIAVBC",7,"numberBox","Stump height (feet)","blank",NA,NA,"",""
"base","FIAVBC",8,"numberBox","Cubic sawlog minimum DBH","blank",NA,NA,"",""
"base","FIAVBC",9,"numberBox","Cubic sawlog minimum top diameter","blank",NA,NA,"",""
"base","FIAVBC",10,"numberBox","Cubic sawlog stump height","blank",NA,NA,"",""
"base","FixCW",1,"scheduleBox","","",NA,NA,"",""
"base","FixCW",2,"speciesSelection","Species to which multiplier is applied","",NA,NA,"",""
"base","FixCW",3,"sliderBox","Multiplier value","1",0,999,"",""
"base","FixCW",4,"numberBox","Minimum DBH to which multiplier will be applied (greater than/equal)","0.0",NA,NA,"",""
"base","FixCW",5,"numberBox","Maximum DBH to which multiplier will be applied (less than)","999.0",NA,NA,"",""
"base","FixDG",1,"scheduleBox","","",NA,NA,"",""
"base","FixDG",2,"speciesSelection","Species to which multiplier is applied","",NA,NA,"",""
"base","FixDG",3,"sliderBox","Diameter growth multiplier value","1",0,999,"",""
"base","FixDG",4,"numberBox","Minimum DBH to which multiplier will be applied (greater than/equal)","0.0",NA,NA,"",""
"base","FixDG",5,"numberBox","Maximum DBH to which multiplier will be applied (less than)","999.0",NA,NA,"",""
"base","FixHtG",1,"scheduleBox","","",NA,NA,"",""
"base","FixHtG",2,"speciesSelection","Species to which multiplier is applied","",NA,NA,"",""
"base","FixHtG",3,"sliderBox","Height growth multiplier value","1",0,999,"",""
"base","FixHtG",4,"numberBox","Minimum DBH to which multiplier will be applied (greater than/equal)","0.0",NA,NA,"",""
"base","FixHtG",5,"numberBox","Maximum DBH to which multiplier will be applied (less than)","999.0",NA,NA,"",""
"base","FixMort",1,"scheduleBox","","",NA,NA,"",""
"base","FixMort",2,"speciesSelection","Species to which mortality is applied","",NA,NA,"",""
"base","FixMort",3,"sliderBox","Proportion of the tree record that will be killed","0",0,999,"",""
"base","FixMort",4,"numberBox","Smallest DBH to which mortality rate will be applied (greater than/equal)","0.0",NA,NA,"",""
"base","FixMort",5,"numberBox","Largest DBH to which mortality rate will be applied (less than)","999.0",NA,NA,"",""
"base","FixMort",6,"longListButton","","Defined proportion replaces mortality rate calculated in the model",NA,NA,"Defined proportion replaces mortality rate calculated in the model|Defined proportion is added to the mortality rate calculated in the model|The larger of the defined proportion and the calculated one is used|Multiply model calculated mortality by the proportion specified in field 3",""
"base","FixMort",7,"longListButton","","Distribute mortality uniformly across the stand",NA,NA,"Distribute mortality uniformly across the stand|Concentrate mortality on points within the stand|Concentrate mortality by size, smallest to largest|Concentrate mortality by point and size, smallest to largest|Concentrate mortality by size, largest to smallest|Concentrate mortality by point and size, largest to smallest",""
"base","FvsStand",1,"scheduleBox","","",NA,NA,"",""
"base","FvsStand",2,"longListButton","(Ignored unless output is scheduled only for cycle 1, or for all cycles.)","Print output for the inventory year and end of cycle 1",NA,NA,"Print output for the inventory year and end of cycle 1|Print output only for the end of cycle 1|Print output only for the inventory year",""
"base","Growth",1,"longListButton","Diameter growth measured","Measured directly as growth prior to current diameter measure",NA,NA,"Measured directly as growth prior to current diameter measure|Subtract ""growth"" diameter from current diameter|Measured directly as growth since current diameter measure|Subtract current diameter from ""growth"" diameter",""
